Date : 2026-03-12 06:43:37
Directory : g:\sl_refactor
Total : 186 files,  20577 codes, 504 comments, 1466 blanks, all 22547 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| g:\sl_refactor\components\hoofdmenu\infographics\WoonoppervlakChart.jsx          | JavaScript JSX     |        122 |          0 |          7 |        129 |
| g:\sl_refactor\components\hoofdmenu\infographics\charts\AllCharts.jsx            | JavaScript JSX     |        107 |          0 |         11 |        118 |
| g:\sl_refactor\components\hoofdmenu\kunst\KunstEnCultuur.jsx                     | JavaScript JSX     |          8 |          0 |          2 |         10 |
| g:\sl_refactor\components\hoofdmenu\praktisch\IconsMenu.jsx                      | JavaScript JSX     |        128 |          0 |          9 |        137 |
| g:\sl_refactor\components\hoofdmenu\praktisch\grofvuil\Grofvuil.jsx              | JavaScript JSX     |        102 |          0 |         12 |        114 |
| g:\sl_refactor\components\hoofdmenu\praktisch\grofvuil\WatWeOphalen.jsx          | JavaScript JSX     |         35 |          0 |          6 |         41 |
| g:\sl_refactor\components\hoofdmenu\praktisch\horeca\Horeca.jsx                  | JavaScript JSX     |         58 |          0 |          6 |         64 |
| g:\sl_refactor\components\hoofdmenu\praktisch\ov\AlleHaltesTram5.jsx             | JavaScript JSX     |         35 |          0 |          5 |         40 |
| g:\sl_refactor\components\hoofdmenu\praktisch\ov\AllehaltesBus21.jsx             | JavaScript JSX     |         35 |          0 |          4 |         39 |
| g:\sl_refactor\components\hoofdmenu\praktisch\ov\Buslijn21.jsx                   | JavaScript JSX     |         53 |          0 |          6 |         59 |
| g:\sl_refactor\components\hoofdmenu\praktisch\ov\Ov.jsx                          | JavaScript JSX     |         66 |          0 |         15 |         81 |
| g:\sl_refactor\components\hoofdmenu\praktisch\ov\Tramlijn5.jsx                   | JavaScript JSX     |         51 |          0 |          7 |         58 |
| g:\sl_refactor\components\hoofdmenu\praktisch\winkels\Winkelbestand.jsx          | JavaScript JSX     |         50 |          0 |          7 |         57 |
| g:\sl_refactor\components\hoofdmenu\praktisch\zorg\AlleZorgInstanties.jsx        | JavaScript JSX     |         44 |          0 |          8 |         52 |
| g:\sl_refactor\components\hoofdmenu\staatslieden\Description.jsx                 | JavaScript JSX     |         15 |          0 |          4 |         19 |
| g:\sl_refactor\components\hoofdmenu\staatslieden\Staatslieden.jsx                | JavaScript JSX     |         60 |          3 |         12 |         75 |
| g:\sl_refactor\components\hoofdmenu\westergas\WesterGas.jsx                      | JavaScript JSX     |         11 |          0 |          2 |         13 |
| g:\sl_refactor\components\praktisch\AlleHaltesTram19.jsx                         | JavaScript JSX     |         35 |          0 |          5 |         40 |
| g:\sl_refactor\components\praktisch\AllehaltesBus21.jsx                          | JavaScript JSX     |         35 |          0 |          4 |         39 |
| g:\sl_refactor\components\praktisch\Buslijn21.jsx                                | JavaScript JSX     |         53 |          0 |          6 |         59 |
| g:\sl_refactor\components\praktisch\Grofvuil.jsx                                 | JavaScript JSX     |        103 |          0 |          9 |        112 |
| g:\sl_refactor\components\praktisch\Horeca.jsx                                   | JavaScript JSX     |         49 |          0 |          5 |         54 |
| g:\sl_refactor\components\praktisch\IconsMenu.jsx                                | JavaScript JSX     |        128 |          0 |          9 |        137 |
| g:\sl_refactor\components\praktisch\Tramlijn19.jsx                               | JavaScript JSX     |         51 |          0 |          7 |         58 |
| g:\sl_refactor\components\praktisch\WatWeOphalen.jsx                             | JavaScript JSX     |         35 |          0 |          6 |         41 |
| g:\sl_refactor\components\praktisch\Winkelbestand.jsx                            | JavaScript JSX     |         49 |          0 |          5 |         54 |
| g:\sl_refactor\components\praktisch\zorg\AlleZorgInstanties.jsx                  | JavaScript JSX     |         44 |          0 |          8 |         52 |
| g:\sl_refactor\components\ui\card.jsx                                            | JavaScript JSX     |         45 |          0 |          9 |         54 |
| g:\sl_refactor\components\ui\chart.jsx                                           | JavaScript JSX     |        279 |          2 |         30 |        311 |
| g:\sl_refactor\config\cloudinary.js                                              | JavaScript         |          7 |          0 |          3 |         10 |
| g:\sl_refactor\connectDB\database.js                                             | JavaScript         |         28 |          5 |         10 |         43 |
| g:\sl_refactor\context\LanguageContext.js                                        | JavaScript         |         15 |          0 |          6 |         21 |
| g:\sl_refactor\data\adressen.json                                                | JSON               |        285 |          0 |          1 |        286 |
| g:\sl_refactor\data\beeldToenEnNu.json                                           | JSON               |        322 |          0 |          1 |        323 |
| g:\sl_refactor\data\grofvuil.json                                                | JSON               |         28 |          0 |          0 |         28 |
| g:\sl_refactor\data\haltesbuslijn21.json                                         | JSON               |         34 |          0 |          2 |         36 |
| g:\sl_refactor\data\haltestramlijn5.json                                         | JSON               |         33 |          0 |          1 |         34 |
| g:\sl_refactor\data\horeca.json                                                  | JSON               |        314 |          0 |          1 |        315 |
| g:\sl_refactor\data\menuItems.json                                               | JSON               |         26 |          0 |          1 |         27 |
| g:\sl_refactor\data\straatnamen.json                                             | JSON               |        211 |          0 |          2 |        213 |
| g:\sl_refactor\data\winkelbestand.json                                           | JSON               |        270 |          0 |          1 |        271 |
| g:\sl_refactor\helper\convertSunsetAndSunrise.js                                 | JavaScript         |         14 |          1 |          5 |         20 |
| g:\sl_refactor\helper\convertTime.js                                             | JavaScript         |         11 |          0 |          4 |         15 |
| g:\sl_refactor\helper\getSunriseAndSunset.js                                     | JavaScript         |         14 |          2 |          4 |         20 |
| g:\sl_refactor\helper\getWeatherData.js                                          | JavaScript         |         49 |          2 |          9 |         60 |
| g:\sl_refactor\hooks\usePostActions.js                                           | JavaScript         |        241 |         37 |         46 |        324 |
| g:\sl_refactor\i18n\navigation.js                                                | JavaScript         |          4 |          2 |          2 |          8 |
| g:\sl_refactor\i18n\request.js                                                   | JavaScript         |         13 |          2 |          4 |         19 |
| g:\sl_refactor\i18n\routing.js                                                   | JavaScript         |          5 |          2 |          3 |         10 |
| g:\sl_refactor\jsconfig.json                                                     | JSON with Comments |          7 |          0 |          1 |          8 |
| g:\sl_refactor\lib\db.ts                                                         | TypeScript         |         28 |          6 |          6 |         40 |
| g:\sl_refactor\lib\utils.js                                                      | JavaScript         |          5 |          0 |          2 |          7 |
